UBIGEO,DEPARTAMENTO,PROVINCIA,Distrito,Zona,Latitud,Longitud,cobertura.cell,Educ.sec.comp,esp.vid.nacer,Ing.fam.p.cap,NBS.2017,No.Pobreza,Tasa.docen_pub,cobertura.cell_mf,Tasa.docen_pub_mf
200308,PIURA,HUANCABAMBA,SONDORILLO,X,-5.3394,-79.43,46.15384615384615,41.09367215810477,66.95465978688351,148.02988722938625,49.0,44.95848599999999,241.06324472960586,46.15384615384615,241.06324472960586
200401,PIURA,MORROPON,CHULUCANAS,X,-5.0969,-80.1642,63.333333333333336,61.11371397478021,74.19666709322776,701.9088264424688,64.7,69.42221,174.31491245199507,63.333333333333336,174.31491245199507
200402,PIURA,MORROPON,BUENOS AIRES,X,-5.2678,-79.9708,91.30434782608695,58.810519510103944,75.10249837094239,701.659112227466,77.7,69.42221,190.25408125690439,91.30434782608695,190.25408125690439
200403,PIURA,MORROPON,CHALACO,X,-5.0417,-79.7958,26.41509433962264,45.00126575296192,74.97475752170465,287.3982183505159,70.4,50.018964999999994,245.91947769314473,26.41509433962264,245.91947769314473
200404,PIURA,MORROPON,LA MATANZA,X,-5.2114,-80.0906,44.11764705882353,49.78375684989758,73.6911779276771,616.2310203311459,58.4,61.265738,253.2527881040892,44.11764705882353,253.2527881040892
200405,PIURA,MORROPON,MORROPON,X,-5.1861,-79.9717,82.14285714285714,70.47588104937333,75.54645400071168,741.3176484677177,77.4,69.42221,182.58426966292134,82.14285714285714,182.58426966292134
200406,PIURA,MORROPON,SALITRAL,X,-5.3419,-79.8319,75.0,56.50344996535445,74.32150428280667,548.5724567678874,71.7,59.873248000000004,211.33412042502954,75.0,211.33412042502954
200407,PIURA,MORROPON,SAN JUAN DE BIGOTE,X,-5.3189,-79.7875,36.8421052631579,57.66035801467513,74.76246818097447,342.44759475337025,73.7,55.340171999999995,228.2495924114421,36.8421052631579,228.2495924114421
200408,PIURA,MORROPON,SANTA CATALINA DE MOSSA,X,-5.1031,-79.8872,23.529411764705884,35.97423000945587,75.33285733419146,502.6598613370853,88.1,56.172759,222.1160735610222,23.529411764705884,222.1160735610222
200409,PIURA,MORROPON,SANTO DOMINGO,X,-5.0292,-79.8756,38.46153846153846,60.30087284774332,75.28079381710178,340.037815168361,74.8,59.26092499999999,230.40218132242674,38.46153846153846,230.40218132242674
200410,PIURA,MORROPON,YAMANGO,X,-5.1814,-79.7528,45.3125,53.4122646614079,73.49455681759831,206.2042566614391,60.2,45.17357,230.57128152341738,45.3125,230.57128152341738
200501,PIURA,PAITA,PAITA,X,-5.0883,-81.1164,83.33333333333334,63.65426474340983,79.43113978237243,957.1839078119212,65.0,79.439445,90.99651524708655,83.33333333333334,90.99651524708655
200502,PIURA,PAITA,AMOTAPE,ZG,-4.8822,-81.0178,100.0,62.97539572100164,80.42101395764229,798.2506832795541,46.4,76.94284999999999,226.88356164383563,100.0,226.88356164383563
200503,PIURA,PAITA,ARENAL,X,-4.8842,-81.0269,100.0,55.635871944339016,82.98486466033297,741.7484495264428,52.9,85.146714,181.1248808388942,100.0,181.1248808388942
200504,PIURA,PAITA,COLAN,X,-4.9092,-81.0572,100.0,54.037884627198395,82.14467689738757,653.3014398056696,46.1,70.75728000000001,158.41584158415841,100.0,158.41584158415841
200505,PIURA,PAITA,LA HUACA,X,-4.9117,-80.9608,100.0,68.17092411381827,81.13869061428008,855.3136782439924,62.2,76.94284999999999,174.48200654307524,100.0,174.48200654307524
200506,PIURA,PAITA,TAMARINDO,X,-4.8792,-80.9739,85.71428571428572,58.629437422547106,81.01980141778746,762.2592870850095,47.3,70.75728000000001,136.0103626943005,85.71428571428572,136.0103626943005
200507,PIURA,PAITA,VICHAYAL,X,-4.8653,-81.0719,77.77777777777777,52.95794198570461,79.72562011838406,421.1991528383629,42.2,70.75728000000001,206.0803917567843,77.77777777777777,206.0803917567843
200601,PIURA,SULLANA,SULLANA,ZG,-4.9044,-80.7047,80.0,71.14438533384025,79.93504063107561,829.1233898514824,72.5,80.57456,120.95347603042633,80.0,120.95347603042633
200602,PIURA,SULLANA,BELLAVISTA,X,-4.8908,-80.6808,100.0,68.69520357352268,80.79218192600393,710.7060597515253,66.9,80.57456,83.37433002770513,100.0,83.37433002770513
200603,PIURA,SULLANA,IGNACIO ESCUDERO,X,-4.8458,-80.8747,64.0,64.36359193150619,79.01836286278046,792.0987111400227,68.7,71.94036,139.01082821188177,64.0,139.01082821188177
200604,PIURA,SULLANA,LANCONES,X,-4.5767,-80.4778,8.92857142857143,41.67016302837659,77.5283182409139,555.7263417005713,15.599999999999994,62.777585,235.85951940850276,8.92857142857143,235.85951940850276
200605,PIURA,SULLANA,MARCAVELICA,X,-4.8814,-80.7061,26.5625,63.1098339615034,78.78688775182127,809.6339879242751,55.7,75.09394,142.8037128965353,26.5625,142.8037128965353
200606,PIURA,SULLANA,MIGUEL CHECA,X,-4.9025,-80.8169,72.72727272727273,64.69217807020043,81.30000138777692,828.5092750539112,41.8,71.94036,137.6819772034759,72.72727272727273,137.6819772034759
200607,PIURA,SULLANA,QUERECOTILLO,X,-4.84,-80.6519,86.36363636363636,69.26752206943536,80.29846251746501,805.190154393453,65.3,75.09394,168.64654333008764,86.36363636363636,168.64654333008764
200608,PIURA,SULLANA,SALITRAL,X,-4.8583,-80.6794,100.0,63.71786833439596,81.16842458932625,879.754335153033,63.2,80.57456,139.01082821188177,100.0,139.01082821188177
200701,PIURA,TALARA,PARIÑAS,X,-4.5811,-81.2747,50.0,65.81860373948332,76.98052296505229,1000.689242407422,65.3,84.45958999999999,106.37831679046428,50.0,106.37831679046428
200702,PIURA,TALARA,EL ALTO,X,-4.2697,-81.2239,100.0,65.54938395169397,77.97866676358052,929.1954080088153,72.2,84.45958999999999,125.10542592071971,100.0,125.10542592071971
200703,PIURA,TALARA,LA BREA,X,-4.6564,-81.3069,58.33333333333333,74.775430587285,78.30047449326607,895.6170797161305,74.4,84.45958999999999,123.26010397450948,58.33333333333333,123.26010397450948
200704,PIURA,TALARA,LOBITOS,X,-4.4531,-81.2783,100.0,66.47278288768237,77.5351314514092,1020.6189646676967,57.0,91.434335,118.69436201780415,100.0,118.69436201780415
200705,PIURA,TALARA,LOS ORGANOS,X,-4.1789,-81.1322,92.3076923076923,66.54760879709113,77.76254735473564,894.3106392789007,75.6,84.45958999999999,121.97686645636172,92.3076923076923,121.97686645636172
200706,PIURA,TALARA,MANCORA,X,-4.1083,-81.0556,66.66666666666667,66.04340734105507,77.47576404946955,905.3640426988286,71.4,82.533,134.91759294748945,66.66666666666667,134.91759294748945
